"featureNames","featureDescriptions"
"c2_freqU9","For sites of class 2: Frequency of uracil at position 9"
"c2_freqU10","For sites of class 2: Frequency of uracil at position 10"
"c2_freqU11","For sites of class 2: Frequency of uracil at position 11"
"c2_freqU12","For sites of class 2: Frequency of uracil at position 12"
"c2_freqU13","For sites of class 2: Frequency of uracil at position 13"
"c2_freqU14","For sites of class 2: Frequency of uracil at position 14"
"c2_freqU15","For sites of class 2: Frequency of uracil at position 15"
"c2_freqU16","For sites of class 2: Frequency of uracil at position 16"
"c2_freqU17","For sites of class 2: Frequency of uracil at position 17"
"c2_freqU18","For sites of class 2: Frequency of uracil at position 18"
"c2_freqU19","For sites of class 2: Frequency of uracil at position 19"
"c2_freqU20","For sites of class 2: Frequency of uracil at position 20"
"c2_freqU21","For sites of class 2: Frequency of uracil at position 21"
"c2_freqU22","For sites of class 2: Frequency of uracil at position 22"
"c2_freqU23","For sites of class 2: Frequency of uracil at position 23"
"c2_freqU24","For sites of class 2: Frequency of uracil at position 24"
"c2_freqU25","For sites of class 2: Frequency of uracil at position 25"
"c2_freqU26","For sites of class 2: Frequency of uracil at position 26"
"c2_freqU27","For sites of class 2: Frequency of uracil at position 27"
"c2_freqU28","For sites of class 2: Frequency of uracil at position 28"
"c2_freqU29","For sites of class 2: Frequency of uracil at position 29"
"c2_freqU30","For sites of class 2: Frequency of uracil at position 30"
"c2_freqG-10","For sites of class 2: Frequency of guanine at position -10"
"c2_freqG-9","For sites of class 2: Frequency of guanine at position -9"
"c2_freqG-8","For sites of class 2: Frequency of guanine at position -8"
"c2_freqG-7","For sites of class 2: Frequency of guanine at position -7"
"c2_freqG-6","For sites of class 2: Frequency of guanine at position -6"
"c2_freqG-5","For sites of class 2: Frequency of guanine at position -5"
"c2_freqG-4","For sites of class 2: Frequency of guanine at position -4"
"c2_freqG-3","For sites of class 2: Frequency of guanine at position -3"
"c2_freqG-2","For sites of class 2: Frequency of guanine at position -2"
"c2_freqG-1","For sites of class 2: Frequency of guanine at position -1"
"c2_freqG1","For sites of class 2: Frequency of guanine at position 1"
"c2_freqG2","For sites of class 2: Frequency of guanine at position 2"
"c2_freqG3","For sites of class 2: Frequency of guanine at position 3"
"c2_freqG4","For sites of class 2: Frequency of guanine at position 4"
"c2_freqG5","For sites of class 2: Frequency of guanine at position 5"
"c2_freqG6","For sites of class 2: Frequency of guanine at position 6"
"c2_freqG7","For sites of class 2: Frequency of guanine at position 7"
"c2_freqG8","For sites of class 2: Frequency of guanine at position 8"
"c2_freqG9","For sites of class 2: Frequency of guanine at position 9"
"c2_freqG10","For sites of class 2: Frequency of guanine at position 10"
"c2_freqG11","For sites of class 2: Frequency of guanine at position 11"
"c2_freqG12","For sites of class 2: Frequency of guanine at position 12"
"c2_freqG13","For sites of class 2: Frequency of guanine at position 13"
"c2_freqG14","For sites of class 2: Frequency of guanine at position 14"
"c2_freqG15","For sites of class 2: Frequency of guanine at position 15"
"c2_freqG16","For sites of class 2: Frequency of guanine at position 16"
"c2_freqG17","For sites of class 2: Frequency of guanine at position 17"
"c2_freqG18","For sites of class 2: Frequency of guanine at position 18"
"c2_freqG19","For sites of class 2: Frequency of guanine at position 19"
"c2_freqG20","For sites of class 2: Frequency of guanine at position 20"
"c2_freqG21","For sites of class 2: Frequency of guanine at position 21"
"c2_freqG22","For sites of class 2: Frequency of guanine at position 22"
"c2_freqG23","For sites of class 2: Frequency of guanine at position 23"
"c2_freqG24","For sites of class 2: Frequency of guanine at position 24"
"c2_freqG25","For sites of class 2: Frequency of guanine at position 25"
"c2_freqG26","For sites of class 2: Frequency of guanine at position 26"
"c2_freqG27","For sites of class 2: Frequency of guanine at position 27"
"c2_freqG28","For sites of class 2: Frequency of guanine at position 28"
"c2_freqG29","For sites of class 2: Frequency of guanine at position 29"
"c2_freqG30","For sites of class 2: Frequency of guanine at position 30"
"c3_freqA-10","For sites of class 3: Frequency of adenine at position -10"
"c3_freqA-9","For sites of class 3: Frequency of adenine at position -9"
"c3_freqA-8","For sites of class 3: Frequency of adenine at position -8"
"c3_freqA-7","For sites of class 3: Frequency of adenine at position -7"
"c3_freqA-6","For sites of class 3: Frequency of adenine at position -6"
"c3_freqA-5","For sites of class 3: Frequency of adenine at position -5"
"c3_freqA-4","For sites of class 3: Frequency of adenine at position -4"
"c3_freqA-3","For sites of class 3: Frequency of adenine at position -3"
"c3_freqA-2","For sites of class 3: Frequency of adenine at position -2"
"c3_freqA-1","For sites of class 3: Frequency of adenine at position -1"
"c3_freqA1","For sites of class 3: Frequency of adenine at position 1"
"c3_freqA2","For sites of class 3: Frequency of adenine at position 2"
"c3_freqA3","For sites of class 3: Frequency of adenine at position 3"
"c3_freqA4","For sites of class 3: Frequency of adenine at position 4"
"c3_freqA5","For sites of class 3: Frequency of adenine at position 5"
"c3_freqA6","For sites of class 3: Frequency of adenine at position 6"
"c3_freqA7","For sites of class 3: Frequency of adenine at position 7"
"c3_freqA8","For sites of class 3: Frequency of adenine at position 8"
"c3_freqA9","For sites of class 3: Frequency of adenine at position 9"
"c3_freqA10","For sites of class 3: Frequency of adenine at position 10"
"c3_freqA11","For sites of class 3: Frequency of adenine at position 11"
"c3_freqA12","For sites of class 3: Frequency of adenine at position 12"
"c3_freqA13","For sites of class 3: Frequency of adenine at position 13"
"c3_freqA14","For sites of class 3: Frequency of adenine at position 14"
"c3_freqA15","For sites of class 3: Frequency of adenine at position 15"
"c3_freqA16","For sites of class 3: Frequency of adenine at position 16"
"c3_freqA17","For sites of class 3: Frequency of adenine at position 17"
"c3_freqA18","For sites of class 3: Frequency of adenine at position 18"
"c3_freqA19","For sites of class 3: Frequency of adenine at position 19"
"c3_freqA20","For sites of class 3: Frequency of adenine at position 20"
"c3_freqA21","For sites of class 3: Frequency of adenine at position 21"
"c3_freqA22","For sites of class 3: Frequency of adenine at position 22"
"c3_freqA23","For sites of class 3: Frequency of adenine at position 23"
"c3_freqA24","For sites of class 3: Frequency of adenine at position 24"
"c3_freqA25","For sites of class 3: Frequency of adenine at position 25"
"c3_freqA26","For sites of class 3: Frequency of adenine at position 26"
"c3_freqA27","For sites of class 3: Frequency of adenine at position 27"
"c3_freqA28","For sites of class 3: Frequency of adenine at position 28"
"c3_freqA29","For sites of class 3: Frequency of adenine at position 29"
"c3_freqA30","For sites of class 3: Frequency of adenine at position 30"
"c3_freqU-10","For sites of class 3: Frequency of uracil at position -10"
"c3_freqU-9","For sites of class 3: Frequency of uracil at position -9"
"c3_freqU-8","For sites of class 3: Frequency of uracil at position -8"
"c3_freqU-7","For sites of class 3: Frequency of uracil at position -7"
"c3_freqU-6","For sites of class 3: Frequency of uracil at position -6"
"c3_freqU-5","For sites of class 3: Frequency of uracil at position -5"
"c3_freqU-4","For sites of class 3: Frequency of uracil at position -4"
"c3_freqU-3","For sites of class 3: Frequency of uracil at position -3"
"c3_freqU-2","For sites of class 3: Frequency of uracil at position -2"
"c3_freqU-1","For sites of class 3: Frequency of uracil at position -1"
"c3_freqU1","For sites of class 3: Frequency of uracil at position 1"
"c3_freqU2","For sites of class 3: Frequency of uracil at position 2"
"c3_freqU3","For sites of class 3: Frequency of uracil at position 3"
"c3_freqU4","For sites of class 3: Frequency of uracil at position 4"
"c3_freqU5","For sites of class 3: Frequency of uracil at position 5"
"c3_freqU6","For sites of class 3: Frequency of uracil at position 6"
"c3_freqU7","For sites of class 3: Frequency of uracil at position 7"
"c3_freqU8","For sites of class 3: Frequency of uracil at position 8"
"c3_freqU9","For sites of class 3: Frequency of uracil at position 9"
"c3_freqU10","For sites of class 3: Frequency of uracil at position 10"
"c3_freqU11","For sites of class 3: Frequency of uracil at position 11"
"c3_freqU12","For sites of class 3: Frequency of uracil at position 12"
"c3_freqU13","For sites of class 3: Frequency of uracil at position 13"
"c3_freqU14","For sites of class 3: Frequency of uracil at position 14"
"c3_freqU15","For sites of class 3: Frequency of uracil at position 15"
"c3_freqU16","For sites of class 3: Frequency of uracil at position 16"
"c3_freqU17","For sites of class 3: Frequency of uracil at position 17"
"c3_freqU18","For sites of class 3: Frequency of uracil at position 18"
"c3_freqU19","For sites of class 3: Frequency of uracil at position 19"
"c3_freqU20","For sites of class 3: Frequency of uracil at position 20"
"c3_freqU21","For sites of class 3: Frequency of uracil at position 21"
"c3_freqU22","For sites of class 3: Frequency of uracil at position 22"
"c3_freqU23","For sites of class 3: Frequency of uracil at position 23"
"c3_freqU24","For sites of class 3: Frequency of uracil at position 24"
"c3_freqU25","For sites of class 3: Frequency of uracil at position 25"
"c3_freqU26","For sites of class 3: Frequency of uracil at position 26"
"c3_freqU27","For sites of class 3: Frequency of uracil at position 27"
"c3_freqU28","For sites of class 3: Frequency of uracil at position 28"
"c3_freqU29","For sites of class 3: Frequency of uracil at position 29"
"c3_freqU30","For sites of class 3: Frequency of uracil at position 30"
"c3_freqG-10","For sites of class 3: Frequency of guanine at position -10"
"c3_freqG-9","For sites of class 3: Frequency of guanine at position -9"
"c3_freqG-8","For sites of class 3: Frequency of guanine at position -8"
"c3_freqG-7","For sites of class 3: Frequency of guanine at position -7"
"c3_freqG-6","For sites of class 3: Frequency of guanine at position -6"
"c3_freqG-5","For sites of class 3: Frequency of guanine at position -5"
"c3_freqG-4","For sites of class 3: Frequency of guanine at position -4"
"c3_freqG-3","For sites of class 3: Frequency of guanine at position -3"
"c3_freqG-2","For sites of class 3: Frequency of guanine at position -2"
"c3_freqG-1","For sites of class 3: Frequency of guanine at position -1"
"c3_freqG1","For sites of class 3: Frequency of guanine at position 1"
"c3_freqG2","For sites of class 3: Frequency of guanine at position 2"
"c3_freqG3","For sites of class 3: Frequency of guanine at position 3"
"c3_freqG4","For sites of class 3: Frequency of guanine at position 4"
"c3_freqG5","For sites of class 3: Frequency of guanine at position 5"
"c3_freqG6","For sites of class 3: Frequency of guanine at position 6"
"c3_freqG7","For sites of class 3: Frequency of guanine at position 7"
"c3_freqG8","For sites of class 3: Frequency of guanine at position 8"
"c3_freqG9","For sites of class 3: Frequency of guanine at position 9"
"c3_freqG10","For sites of class 3: Frequency of guanine at position 10"
"c3_freqG11","For sites of class 3: Frequency of guanine at position 11"
"c3_freqG12","For sites of class 3: Frequency of guanine at position 12"
"c3_freqG13","For sites of class 3: Frequency of guanine at position 13"
"c3_freqG14","For sites of class 3: Frequency of guanine at position 14"
"c3_freqG15","For sites of class 3: Frequency of guanine at position 15"
"c3_freqG16","For sites of class 3: Frequency of guanine at position 16"
"c3_freqG17","For sites of class 3: Frequency of guanine at position 17"
"c3_freqG18","For sites of class 3: Frequency of guanine at position 18"
"c3_freqG19","For sites of class 3: Frequency of guanine at position 19"
"c3_freqG20","For sites of class 3: Frequency of guanine at position 20"
"c3_freqG21","For sites of class 3: Frequency of guanine at position 21"
"c3_freqG22","For sites of class 3: Frequency of guanine at position 22"
"c3_freqG23","For sites of class 3: Frequency of guanine at position 23"
"c3_freqG24","For sites of class 3: Frequency of guanine at position 24"
"c3_freqG25","For sites of class 3: Frequency of guanine at position 25"
"c3_freqG26","For sites of class 3: Frequency of guanine at position 26"
"c3_freqG27","For sites of class 3: Frequency of guanine at position 27"
"c3_freqG28","For sites of class 3: Frequency of guanine at position 28"
"c3_freqG29","For sites of class 3: Frequency of guanine at position 29"
"c3_freqG30","For sites of class 3: Frequency of guanine at position 30"
"c4_freqA-10","For sites of class 4: Frequency of adenine at position -10"
"c4_freqA-9","For sites of class 4: Frequency of adenine at position -9"
"c4_freqA-8","For sites of class 4: Frequency of adenine at position -8"
"c4_freqA-7","For sites of class 4: Frequency of adenine at position -7"
"c4_freqA-6","For sites of class 4: Frequency of adenine at position -6"
"c4_freqA-5","For sites of class 4: Frequency of adenine at position -5"
"c4_freqA-4","For sites of class 4: Frequency of adenine at position -4"
"c4_freqA-3","For sites of class 4: Frequency of adenine at position -3"
"c4_freqA-2","For sites of class 4: Frequency of adenine at position -2"
"c4_freqA-1","For sites of class 4: Frequency of adenine at position -1"
"c4_freqA1","For sites of class 4: Frequency of adenine at position 1"
"c4_freqA2","For sites of class 4: Frequency of adenine at position 2"
"c4_freqA3","For sites of class 4: Frequency of adenine at position 3"
"c4_freqA4","For sites of class 4: Frequency of adenine at position 4"
"c4_freqA5","For sites of class 4: Frequency of adenine at position 5"
"c4_freqA6","For sites of class 4: Frequency of adenine at position 6"
"c4_freqA7","For sites of class 4: Frequency of adenine at position 7"
"c4_freqA8","For sites of class 4: Frequency of adenine at position 8"
"c4_freqA9","For sites of class 4: Frequency of adenine at position 9"
"c4_freqA10","For sites of class 4: Frequency of adenine at position 10"
"c4_freqA11","For sites of class 4: Frequency of adenine at position 11"
"c4_freqA12","For sites of class 4: Frequency of adenine at position 12"
"c4_freqA13","For sites of class 4: Frequency of adenine at position 13"
"c4_freqA14","For sites of class 4: Frequency of adenine at position 14"
"c4_freqA15","For sites of class 4: Frequency of adenine at position 15"
"c4_freqA16","For sites of class 4: Frequency of adenine at position 16"
"c4_freqA17","For sites of class 4: Frequency of adenine at position 17"
"c4_freqA18","For sites of class 4: Frequency of adenine at position 18"
"c4_freqA19","For sites of class 4: Frequency of adenine at position 19"
"c4_freqA20","For sites of class 4: Frequency of adenine at position 20"
"c4_freqA21","For sites of class 4: Frequency of adenine at position 21"
"c4_freqA22","For sites of class 4: Frequency of adenine at position 22"
"c4_freqA23","For sites of class 4: Frequency of adenine at position 23"
"c4_freqA24","For sites of class 4: Frequency of adenine at position 24"
"c4_freqA25","For sites of class 4: Frequency of adenine at position 25"
"c4_freqA26","For sites of class 4: Frequency of adenine at position 26"
"c4_freqA27","For sites of class 4: Frequency of adenine at position 27"
"c4_freqA28","For sites of class 4: Frequency of adenine at position 28"
"c4_freqA29","For sites of class 4: Frequency of adenine at position 29"
"c4_freqA30","For sites of class 4: Frequency of adenine at position 30"
"c4_freqU-10","For sites of class 4: Frequency of uracil at position -10"
"c4_freqU-9","For sites of class 4: Frequency of uracil at position -9"
"c4_freqU-8","For sites of class 4: Frequency of uracil at position -8"
"c4_freqU-7","For sites of class 4: Frequency of uracil at position -7"
"c4_freqU-6","For sites of class 4: Frequency of uracil at position -6"
"c4_freqU-5","For sites of class 4: Frequency of uracil at position -5"
"c4_freqU-4","For sites of class 4: Frequency of uracil at position -4"
"c4_freqU-3","For sites of class 4: Frequency of uracil at position -3"
"c4_freqU-2","For sites of class 4: Frequency of uracil at position -2"
"c4_freqU-1","For sites of class 4: Frequency of uracil at position -1"
"c4_freqU1","For sites of class 4: Frequency of uracil at position 1"
"c4_freqU2","For sites of class 4: Frequency of uracil at position 2"
"c4_freqU3","For sites of class 4: Frequency of uracil at position 3"
"c4_freqU4","For sites of class 4: Frequency of uracil at position 4"
"c4_freqU5","For sites of class 4: Frequency of uracil at position 5"
"c4_freqU6","For sites of class 4: Frequency of uracil at position 6"
"c4_freqU7","For sites of class 4: Frequency of uracil at position 7"
"c4_freqU8","For sites of class 4: Frequency of uracil at position 8"
"c4_freqU9","For sites of class 4: Frequency of uracil at position 9"
"c4_freqU10","For sites of class 4: Frequency of uracil at position 10"
"c4_freqU11","For sites of class 4: Frequency of uracil at position 11"
"c4_freqU12","For sites of class 4: Frequency of uracil at position 12"
"c4_freqU13","For sites of class 4: Frequency of uracil at position 13"
"c4_freqU14","For sites of class 4: Frequency of uracil at position 14"
"c4_freqU15","For sites of class 4: Frequency of uracil at position 15"
"c4_freqU16","For sites of class 4: Frequency of uracil at position 16"
"c4_freqU17","For sites of class 4: Frequency of uracil at position 17"
"c4_freqU18","For sites of class 4: Frequency of uracil at position 18"
"c4_freqU19","For sites of class 4: Frequency of uracil at position 19"
"c4_freqU20","For sites of class 4: Frequency of uracil at position 20"
"c4_freqU21","For sites of class 4: Frequency of uracil at position 21"
"c4_freqU22","For sites of class 4: Frequency of uracil at position 22"
"c4_freqU23","For sites of class 4: Frequency of uracil at position 23"
"c4_freqU24","For sites of class 4: Frequency of uracil at position 24"
"c4_freqU25","For sites of class 4: Frequency of uracil at position 25"
"c4_freqU26","For sites of class 4: Frequency of uracil at position 26"
"c4_freqU27","For sites of class 4: Frequency of uracil at position 27"
"c4_freqU28","For sites of class 4: Frequency of uracil at position 28"
"c4_freqU29","For sites of class 4: Frequency of uracil at position 29"
"c4_freqU30","For sites of class 4: Frequency of uracil at position 30"
"c4_freqG-10","For sites of class 4: Frequency of guanine at position -10"
"c4_freqG-9","For sites of class 4: Frequency of guanine at position -9"
"c4_freqG-8","For sites of class 4: Frequency of guanine at position -8"
"c4_freqG-7","For sites of class 4: Frequency of guanine at position -7"
"c4_freqG-6","For sites of class 4: Frequency of guanine at position -6"
"c4_freqG-5","For sites of class 4: Frequency of guanine at position -5"
"c4_freqG-4","For sites of class 4: Frequency of guanine at position -4"
"c4_freqG-3","For sites of class 4: Frequency of guanine at position -3"
"c4_freqG-2","For sites of class 4: Frequency of guanine at position -2"
"c4_freqG-1","For sites of class 4: Frequency of guanine at position -1"
"c4_freqG1","For sites of class 4: Frequency of guanine at position 1"
"c4_freqG2","For sites of class 4: Frequency of guanine at position 2"
"c4_freqG3","For sites of class 4: Frequency of guanine at position 3"
"c4_freqG4","For sites of class 4: Frequency of guanine at position 4"
"c4_freqG5","For sites of class 4: Frequency of guanine at position 5"
"c4_freqG6","For sites of class 4: Frequency of guanine at position 6"
"c4_freqG7","For sites of class 4: Frequency of guanine at position 7"
"c4_freqG8","For sites of class 4: Frequency of guanine at position 8"
"c4_freqG9","For sites of class 4: Frequency of guanine at position 9"
"c4_freqG10","For sites of class 4: Frequency of guanine at position 10"
"c4_freqG11","For sites of class 4: Frequency of guanine at position 11"
"c4_freqG12","For sites of class 4: Frequency of guanine at position 12"
"c4_freqG13","For sites of class 4: Frequency of guanine at position 13"
"c4_freqG14","For sites of class 4: Frequency of guanine at position 14"
"c4_freqG15","For sites of class 4: Frequency of guanine at position 15"
"c4_freqG16","For sites of class 4: Frequency of guanine at position 16"
"c4_freqG17","For sites of class 4: Frequency of guanine at position 17"
"c4_freqG18","For sites of class 4: Frequency of guanine at position 18"
"c4_freqG19","For sites of class 4: Frequency of guanine at position 19"
"c4_freqG20","For sites of class 4: Frequency of guanine at position 20"
"c4_freqG21","For sites of class 4: Frequency of guanine at position 21"
"c4_freqG22","For sites of class 4: Frequency of guanine at position 22"
"c4_freqG23","For sites of class 4: Frequency of guanine at position 23"
"c4_freqG24","For sites of class 4: Frequency of guanine at position 24"
"c4_freqG25","For sites of class 4: Frequency of guanine at position 25"
"c4_freqG26","For sites of class 4: Frequency of guanine at position 26"
"c4_freqG27","For sites of class 4: Frequency of guanine at position 27"
"c4_freqG28","For sites of class 4: Frequency of guanine at position 28"
"c4_freqG29","For sites of class 4: Frequency of guanine at position 29"
"c4_freqG30","For sites of class 4: Frequency of guanine at position 30"
"c5_freqA-10","For sites of class 5: Frequency of adenine at position -10"
"c5_freqA-9","For sites of class 5: Frequency of adenine at position -9"
"c5_freqA-8","For sites of class 5: Frequency of adenine at position -8"
"c5_freqA-7","For sites of class 5: Frequency of adenine at position -7"
"c5_freqA-6","For sites of class 5: Frequency of adenine at position -6"
"c5_freqA-5","For sites of class 5: Frequency of adenine at position -5"
"c5_freqA-4","For sites of class 5: Frequency of adenine at position -4"
"c5_freqA-3","For sites of class 5: Frequency of adenine at position -3"
"c5_freqA-2","For sites of class 5: Frequency of adenine at position -2"
"c5_freqA-1","For sites of class 5: Frequency of adenine at position -1"
"c5_freqA1","For sites of class 5: Frequency of adenine at position 1"
"c5_freqA2","For sites of class 5: Frequency of adenine at position 2"
"c5_freqA3","For sites of class 5: Frequency of adenine at position 3"
"c5_freqA4","For sites of class 5: Frequency of adenine at position 4"
"c5_freqA5","For sites of class 5: Frequency of adenine at position 5"
"c5_freqA6","For sites of class 5: Frequency of adenine at position 6"
"c5_freqA7","For sites of class 5: Frequency of adenine at position 7"
"c5_freqA8","For sites of class 5: Frequency of adenine at position 8"
"c5_freqA9","For sites of class 5: Frequency of adenine at position 9"
"c5_freqA10","For sites of class 5: Frequency of adenine at position 10"
"c5_freqA11","For sites of class 5: Frequency of adenine at position 11"
"c5_freqA12","For sites of class 5: Frequency of adenine at position 12"
"c5_freqA13","For sites of class 5: Frequency of adenine at position 13"
"c5_freqA14","For sites of class 5: Frequency of adenine at position 14"
"c5_freqA15","For sites of class 5: Frequency of adenine at position 15"
"c5_freqA16","For sites of class 5: Frequency of adenine at position 16"
"c5_freqA17","For sites of class 5: Frequency of adenine at position 17"
"c5_freqA18","For sites of class 5: Frequency of adenine at position 18"
"c5_freqA19","For sites of class 5: Frequency of adenine at position 19"
"c5_freqA20","For sites of class 5: Frequency of adenine at position 20"
"c5_freqA21","For sites of class 5: Frequency of adenine at position 21"
"c5_freqA22","For sites of class 5: Frequency of adenine at position 22"
"c5_freqA23","For sites of class 5: Frequency of adenine at position 23"
"c5_freqA24","For sites of class 5: Frequency of adenine at position 24"
"c5_freqA25","For sites of class 5: Frequency of adenine at position 25"
"c5_freqA26","For sites of class 5: Frequency of adenine at position 26"
"c5_freqA27","For sites of class 5: Frequency of adenine at position 27"
"c5_freqA28","For sites of class 5: Frequency of adenine at position 28"
"c5_freqA29","For sites of class 5: Frequency of adenine at position 29"
"c5_freqA30","For sites of class 5: Frequency of adenine at position 30"
"c5_freqU-10","For sites of class 5: Frequency of uracil at position -10"
"c5_freqU-9","For sites of class 5: Frequency of uracil at position -9"
"c5_freqU-8","For sites of class 5: Frequency of uracil at position -8"
"c5_freqU-7","For sites of class 5: Frequency of uracil at position -7"
"c5_freqU-6","For sites of class 5: Frequency of uracil at position -6"
"c5_freqU-5","For sites of class 5: Frequency of uracil at position -5"
"c5_freqU-4","For sites of class 5: Frequency of uracil at position -4"
"c5_freqU-3","For sites of class 5: Frequency of uracil at position -3"
"c5_freqU-2","For sites of class 5: Frequency of uracil at position -2"
"c5_freqU-1","For sites of class 5: Frequency of uracil at position -1"
"c5_freqU1","For sites of class 5: Frequency of uracil at position 1"
"c5_freqU2","For sites of class 5: Frequency of uracil at position 2"
"c5_freqU3","For sites of class 5: Frequency of uracil at position 3"
"c5_freqU4","For sites of class 5: Frequency of uracil at position 4"
"c5_freqU5","For sites of class 5: Frequency of uracil at position 5"
"c5_freqU6","For sites of class 5: Frequency of uracil at position 6"
"c5_freqU7","For sites of class 5: Frequency of uracil at position 7"
"c5_freqU8","For sites of class 5: Frequency of uracil at position 8"
"c5_freqU9","For sites of class 5: Frequency of uracil at position 9"
"c5_freqU10","For sites of class 5: Frequency of uracil at position 10"
"c5_freqU11","For sites of class 5: Frequency of uracil at position 11"
"c5_freqU12","For sites of class 5: Frequency of uracil at position 12"
"c5_freqU13","For sites of class 5: Frequency of uracil at position 13"
"c5_freqU14","For sites of class 5: Frequency of uracil at position 14"
"c5_freqU15","For sites of class 5: Frequency of uracil at position 15"
"c5_freqU16","For sites of class 5: Frequency of uracil at position 16"
"c5_freqU17","For sites of class 5: Frequency of uracil at position 17"
"c5_freqU18","For sites of class 5: Frequency of uracil at position 18"
"c5_freqU19","For sites of class 5: Frequency of uracil at position 19"
"c5_freqU20","For sites of class 5: Frequency of uracil at position 20"
"c5_freqU21","For sites of class 5: Frequency of uracil at position 21"
"c5_freqU22","For sites of class 5: Frequency of uracil at position 22"
"c5_freqU23","For sites of class 5: Frequency of uracil at position 23"
"c5_freqU24","For sites of class 5: Frequency of uracil at position 24"
"c5_freqU25","For sites of class 5: Frequency of uracil at position 25"
"c5_freqU26","For sites of class 5: Frequency of uracil at position 26"
"c5_freqU27","For sites of class 5: Frequency of uracil at position 27"
"c5_freqU28","For sites of class 5: Frequency of uracil at position 28"
"c5_freqU29","For sites of class 5: Frequency of uracil at position 29"
"c5_freqU30","For sites of class 5: Frequency of uracil at position 30"
"c5_freqG-10","For sites of class 5: Frequency of guanine at position -10"
"c5_freqG-9","For sites of class 5: Frequency of guanine at position -9"
"c5_freqG-8","For sites of class 5: Frequency of guanine at position -8"
"c5_freqG-7","For sites of class 5: Frequency of guanine at position -7"
"c5_freqG-6","For sites of class 5: Frequency of guanine at position -6"
"c5_freqG-5","For sites of class 5: Frequency of guanine at position -5"
"c5_freqG-4","For sites of class 5: Frequency of guanine at position -4"
"c5_freqG-3","For sites of class 5: Frequency of guanine at position -3"
"c5_freqG-2","For sites of class 5: Frequency of guanine at position -2"
"c5_freqG-1","For sites of class 5: Frequency of guanine at position -1"
"c5_freqG1","For sites of class 5: Frequency of guanine at position 1"
"c5_freqG2","For sites of class 5: Frequency of guanine at position 2"
"c5_freqG3","For sites of class 5: Frequency of guanine at position 3"
"c5_freqG4","For sites of class 5: Frequency of guanine at position 4"
"c5_freqG5","For sites of class 5: Frequency of guanine at position 5"
"c5_freqG6","For sites of class 5: Frequency of guanine at position 6"
"c5_freqG7","For sites of class 5: Frequency of guanine at position 7"
"c5_freqG8","For sites of class 5: Frequency of guanine at position 8"
"c5_freqG9","For sites of class 5: Frequency of guanine at position 9"
"c5_freqG10","For sites of class 5: Frequency of guanine at position 10"
"c5_freqG11","For sites of class 5: Frequency of guanine at position 11"
"c5_freqG12","For sites of class 5: Frequency of guanine at position 12"
"c5_freqG13","For sites of class 5: Frequency of guanine at position 13"
"c5_freqG14","For sites of class 5: Frequency of guanine at position 14"
"c5_freqG15","For sites of class 5: Frequency of guanine at position 15"
"c5_freqG16","For sites of class 5: Frequency of guanine at position 16"
"c5_freqG17","For sites of class 5: Frequency of guanine at position 17"
"c5_freqG18","For sites of class 5: Frequency of guanine at position 18"
"c5_freqG19","For sites of class 5: Frequency of guanine at position 19"
"c5_freqG20","For sites of class 5: Frequency of guanine at position 20"
"c5_freqG21","For sites of class 5: Frequency of guanine at position 21"
"c5_freqG22","For sites of class 5: Frequency of guanine at position 22"
"c5_freqG23","For sites of class 5: Frequency of guanine at position 23"
"c5_freqG24","For sites of class 5: Frequency of guanine at position 24"
"c5_freqG25","For sites of class 5: Frequency of guanine at position 25"
"c5_freqG26","For sites of class 5: Frequency of guanine at position 26"
"c5_freqG27","For sites of class 5: Frequency of guanine at position 27"
"c5_freqG28","For sites of class 5: Frequency of guanine at position 28"
"c5_freqG29","For sites of class 5: Frequency of guanine at position 29"
"c5_freqG30","For sites of class 5: Frequency of guanine at position 30"
"c6_freqA-10","For sites of class 6: Frequency of adenine at position -10"
"c6_freqA-9","For sites of class 6: Frequency of adenine at position -9"
"c6_freqA-8","For sites of class 6: Frequency of adenine at position -8"
"c6_freqA-7","For sites of class 6: Frequency of adenine at position -7"
"c6_freqA-6","For sites of class 6: Frequency of adenine at position -6"
"c6_freqA-5","For sites of class 6: Frequency of adenine at position -5"
"c6_freqA-4","For sites of class 6: Frequency of adenine at position -4"
"c6_freqA-3","For sites of class 6: Frequency of adenine at position -3"
"c6_freqA-2","For sites of class 6: Frequency of adenine at position -2"
"c6_freqA-1","For sites of class 6: Frequency of adenine at position -1"
"c6_freqA1","For sites of class 6: Frequency of adenine at position 1"
"c6_freqA2","For sites of class 6: Frequency of adenine at position 2"
"c6_freqA3","For sites of class 6: Frequency of adenine at position 3"
"c6_freqA4","For sites of class 6: Frequency of adenine at position 4"
"c6_freqA5","For sites of class 6: Frequency of adenine at position 5"
"c6_freqA6","For sites of class 6: Frequency of adenine at position 6"
"c6_freqA7","For sites of class 6: Frequency of adenine at position 7"
"c6_freqA8","For sites of class 6: Frequency of adenine at position 8"
"c6_freqA9","For sites of class 6: Frequency of adenine at position 9"
"c6_freqA10","For sites of class 6: Frequency of adenine at position 10"
"c6_freqA11","For sites of class 6: Frequency of adenine at position 11"
"c6_freqA12","For sites of class 6: Frequency of adenine at position 12"
"c6_freqA13","For sites of class 6: Frequency of adenine at position 13"
"c6_freqA14","For sites of class 6: Frequency of adenine at position 14"
"c6_freqA15","For sites of class 6: Frequency of adenine at position 15"
