"featureNames","featureDescriptions"
"c3_NearEngDiffMedian","For sites of class 3: Min value of diffence in binding energy between a site and its nearby region"
"c3_NearEngDiffVar","For sites of class 3: Variance of diffence in binding energy between sites and their nearby regions"
"c4_end3'distMean","For sites of class 4: Mean distance from 3' end"
"c4_end3'distMedian","For sites of class 4: Median distance from 3' end"
"c4_end3'distVar","For sites of class 4: Variance of distance from 3' end"
"c4_stopdistMean","For sites of class 4: Mean distance from stop codon"
"c4_stopdistMedian","For sites of class 4: Median distance from stop codon"
"c4_stopdistVar","For sites of class 4: Variance of distance from stop codon"
"c4_bindEnMin","For sites of class 4: Minimum site binding energy value"
"c4_bindEnMean","For sites of class 4: Mean site binding energy"
"c4_bindEnVar","For sites of class 4: Variance of site binding energy"
"c4_bindEnMedian","For sites of class 4: Median site binding energy"
"c4_5'UTRFreq","For sites of class 4: Frequency of sites in 5'UTR"
"c4_CDSFreq","For sites of class 4: Frequency of sites in CDS"
"c4_3'UTRFreq","For sites of class 4: Frequency of sites in 3'UTR"
"c4_RISCAccEngMean","For sites of class 4: Mean energy needed to make sites accessible to RISC"
"c4_RISCAccEngMedian","For sites of class 4: Median energy needed to make sites accessible to RISC"
"c4_RISCAccEngMin","For sites of class 4: Min value of energy needed to make a site accessible to RISC"
"c4_RISCAccEngVar","For sites of class 4: Variance of energy needed to make sites accessible to RISC"
"c4_NearEngDiffMean","For sites of class 4: Mean diffence in binding energy between sites and their nearby regions"
"c4_NearEngDiffMin","For sites of class 4: Median diffence in binding energy between sites and their nearby regions"
"c4_NearEngDiffMedian","For sites of class 4: Min value of diffence in binding energy between a site and its nearby region"
"c4_NearEngDiffVar","For sites of class 4: Variance of diffence in binding energy between sites and their nearby regions"
"c5_end3'distMean","For sites of class 5: Mean distance from 3' end"
"c5_end3'distMedian","For sites of class 5: Median distance from 3' end"
"c5_end3'distVar","For sites of class 5: Variance of distance from 3' end"
"c5_stopdistMean","For sites of class 5: Mean distance from stop codon"
"c5_stopdistMedian","For sites of class 5: Median distance from stop codon"
"c5_stopdistVar","For sites of class 5: Variance of distance from stop codon"
"c5_bindEnMin","For sites of class 5: Minimum site binding energy value"
"c5_bindEnMean","For sites of class 5: Mean site binding energy"
"c5_bindEnVar","For sites of class 5: Variance of site binding energy"
"c5_bindEnMedian","For sites of class 5: Median site binding energy"
"c5_5'UTRFreq","For sites of class 5: Frequency of sites in 5'UTR"
"c5_CDSFreq","For sites of class 5: Frequency of sites in CDS"
"c5_3'UTRFreq","For sites of class 5: Frequency of sites in 3'UTR"
"c5_RISCAccEngMean","For sites of class 5: Mean energy needed to make sites accessible to RISC"
"c5_RISCAccEngMedian","For sites of class 5: Median energy needed to make sites accessible to RISC"
"c5_RISCAccEngMin","For sites of class 5: Min value of energy needed to make a site accessible to RISC"
"c5_RISCAccEngVar","For sites of class 5: Variance of energy needed to make sites accessible to RISC"
"c5_NearEngDiffMean","For sites of class 5: Mean diffence in binding energy between sites and their nearby regions"
"c5_NearEngDiffMin","For sites of class 5: Median diffence in binding energy between sites and their nearby regions"
"c5_NearEngDiffMedian","For sites of class 5: Min value of diffence in binding energy between a site and its nearby region"
"c5_NearEngDiffVar","For sites of class 5: Variance of diffence in binding energy between sites and their nearby regions"
"c6_end3'distMean","For sites of class 6: Mean distance from 3' end"
"c6_end3'distMedian","For sites of class 6: Median distance from 3' end"
"c6_end3'distVar","For sites of class 6: Variance of distance from 3' end"
"c6_stopdistMean","For sites of class 6: Mean distance from stop codon"
"c6_stopdistMedian","For sites of class 6: Median distance from stop codon"
"c6_stopdistVar","For sites of class 6: Variance of distance from stop codon"
"c6_bindEnMin","For sites of class 6: Minimum site binding energy value"
"c6_bindEnMean","For sites of class 6: Mean site binding energy"
"c6_bindEnVar","For sites of class 6: Variance of site binding energy"
"c6_bindEnMedian","For sites of class 6: Median site binding energy"
"c6_5'UTRFreq","For sites of class 6: Frequency of sites in 5'UTR"
"c6_CDSFreq","For sites of class 6: Frequency of sites in CDS"
"c6_3'UTRFreq","For sites of class 6: Frequency of sites in 3'UTR"
"c6_RISCAccEngMean","For sites of class 6: Mean energy needed to make sites accessible to RISC"
"c6_RISCAccEngMedian","For sites of class 6: Median energy needed to make sites accessible to RISC"
"c6_RISCAccEngMin","For sites of class 6: Min value of energy needed to make a site accessible to RISC"
"c6_RISCAccEngVar","For sites of class 6: Variance of energy needed to make sites accessible to RISC"
"c6_NearEngDiffMean","For sites of class 6: Mean diffence in binding energy between sites and their nearby regions"
"c6_NearEngDiffMin","For sites of class 6: Median diffence in binding energy between sites and their nearby regions"
"c6_NearEngDiffMedian","For sites of class 6: Min value of diffence in binding energy between a site and its nearby region"
"c6_NearEngDiffVar","For sites of class 6: Variance of diffence in binding energy between sites and their nearby regions"
"c7_end3'distMean","For sites of class 7: Mean distance from 3' end"
"c7_end3'distMedian","For sites of class 7: Median distance from 3' end"
"c7_end3'distVar","For sites of class 7: Variance of distance from 3' end"
"c7_stopdistMean","For sites of class 7: Mean distance from stop codon"
"c7_stopdistMedian","For sites of class 7: Median distance from stop codon"
"c7_stopdistVar","For sites of class 7: Variance of distance from stop codon"
"c7_bindEnMin","For sites of class 7: Minimum site binding energy value"
"c7_bindEnMean","For sites of class 7: Mean site binding energy"
"c7_bindEnVar","For sites of class 7: Variance of site binding energy"
"c7_bindEnMedian","For sites of class 7: Median site binding energy"
"c7_5'UTRFreq","For sites of class 7: Frequency of sites in 5'UTR"
"c7_CDSFreq","For sites of class 7: Frequency of sites in CDS"
"c7_3'UTRFreq","For sites of class 7: Frequency of sites in 3'UTR"
"c7_RISCAccEngMean","For sites of class 7: Mean energy needed to make sites accessible to RISC"
"c7_RISCAccEngMedian","For sites of class 7: Median energy needed to make sites accessible to RISC"
"c7_RISCAccEngMin","For sites of class 7: Min value of energy needed to make a site accessible to RISC"
"c7_RISCAccEngVar","For sites of class 7: Variance of energy needed to make sites accessible to RISC"
"c7_NearEngDiffMean","For sites of class 7: Mean diffence in binding energy between sites and their nearby regions"
"c7_NearEngDiffMin","For sites of class 7: Median diffence in binding energy between sites and their nearby regions"
"c7_NearEngDiffMedian","For sites of class 7: Min value of diffence in binding energy between a site and its nearby region"
"c7_NearEngDiffVar","For sites of class 7: Variance of diffence in binding energy between sites and their nearby regions"
